command,mean,stddev,median,user,system,min,max,parameter_num_threads
./seq/mandelbrot.out 1 < mandelbrot.in > out/220905120539/seq.out,6.87915130336,0.008243103868870954,6.879506940960001,6.816613599999999,0.05236832,6.86753139946,6.89626769046,1
./seq/mandelbrot.out 2 < mandelbrot.in > out/220905120539/seq.out,6.874590382359999,0.004112232582447385,6.87408064896,6.8167138,0.04868732,6.86984798246,6.88432006546,2
./seq/mandelbrot.out 3 < mandelbrot.in > out/220905120539/seq.out,6.87712031576,0.009358035294849389,6.87576383646,6.816188800000001,0.04930402,6.86274060746,6.8996665654600005,3
./seq/mandelbrot.out 4 < mandelbrot.in > out/220905120539/seq.out,6.877434357459999,0.006906133970563258,6.87847641996,6.8181850000000015,0.04892922,6.86833614946,6.88741010746,4
./seq/mandelbrot.out 5 < mandelbrot.in > out/220905120539/seq.out,6.87466287826,0.004201405581898746,6.874325669959999,6.8158255,0.04903822,6.87061039946,6.88480735746,5
./seq/mandelbrot.out 6 < mandelbrot.in > out/220905120539/seq.out,6.874019111760001,0.0032922550832774934,6.87474110746,6.8160750000000005,0.04825292,6.86726731546,6.87869627446,6
./seq/mandelbrot.out 7 < mandelbrot.in > out/220905120539/seq.out,6.881079849060001,0.011170223169391489,6.87792139896,6.818038199999999,0.048423919999999995,6.86619423246,6.90441073246,7
./seq/mandelbrot.out 8 < mandelbrot.in > out/220905120539/seq.out,6.8774629033600005,0.011484466902652746,6.87484616996,6.816331600000001,0.04928502,6.86611281546,6.90847239946,8
./seq/mandelbrot.out 9 < mandelbrot.in > out/220905120539/seq.out,6.88075923256,0.013683584447950526,6.8747670244600005,6.8156035,0.049737619999999996,6.8689481494599995,6.90893735746,9
./seq/mandelbrot.out 10 < mandelbrot.in > out/220905120539/seq.out,6.87787237846,0.008311739110513696,6.8762375034600005,6.817984899999999,0.04878342,6.86401739946,6.89477914946,10
./seq/mandelbrot.out 11 < mandelbrot.in > out/220905120539/seq.out,6.88473760326,0.021312328390535852,6.87489916996,6.8232073,0.04942502,6.86906256546,6.93186323246,11
./seq/mandelbrot.out 12 < mandelbrot.in > out/220905120539/seq.out,6.87350262006,0.003574006660143078,6.87379373246,6.8152467,0.048940319999999995,6.86481577446,6.87757814946,12
./seq/mandelbrot.out 13 < mandelbrot.in > out/220905120539/seq.out,6.90267600746,0.03967378676117877,6.88097414896,6.83883,0.04648862,6.87497364946,6.99866364946,13
./seq/mandelbrot.out 14 < mandelbrot.in > out/220905120539/seq.out,6.890449095059999,0.023993298195845364,6.88089566996,6.8249225,0.04857612000000001,6.86564689946,6.94380335746,14
./seq/mandelbrot.out 15 < mandelbrot.in > out/220905120539/seq.out,6.88765077426,0.021038432427543056,6.878033711960001,6.821053400000001,0.04904762,6.86817564946,6.93716231546,15
./seq/mandelbrot.out 16 < mandelbrot.in > out/220905120539/seq.out,6.874423178359999,0.0053526947851030545,6.873340669959999,6.8162522999999995,0.048423619999999994,6.86406052446,6.88394773246,16
